make,fuel-type,body-style,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
alfa-romero,gas,convertible,2548,four,130,111,21,27,13495
alfa-romero,gas,convertible,2548,four,130,111,21,27,16500
alfa-romero,gas,hatchback,2823,six,152,154,19,26,16500
audi,gas,sedan,2337,four,109,102,24,30,13950
audi,gas,sedan,2824,five,136,115,18,22,17450
audi,gas,sedan,2507,five,136,110,19,25,15250
audi,gas,sedan,2844,five,136,110,19,25,17710
audi,gas,wagon,2954,five,136,110,19,25,18920
audi,gas,sedan,3086,five,131,140,17,20,23875
audi,gas,hatchback,3053,five,131,160,16,22,?
bmw,gas,sedan,2395,four,108,101,23,29,16430
bmw,gas,sedan,2395,four,108,101,23,29,16925
bmw,gas,sedan,2710,six,164,121,21,28,20970
bmw,gas,sedan,2765,six,164,121,21,28,21105
bmw,gas,sedan,3055,six,164,121,20,25,24565
bmw,gas,sedan,3230,six,209,182,16,22,30760
bmw,gas,sedan,3380,six,209,182,16,22,41315
bmw,gas,sedan,3505,six,209,182,15,20,36880
chevrolet,gas,hatchback,1488,three,61,48,47,53,5151
chevrolet,gas,hatchback,1874,four,90,70,38,43,6295
chevrolet,gas,sedan,1909,four,90,70,38,43,6575
dodge,gas,hatchback,1876,four,90,68,37,41,5572
dodge,gas,hatchback,1876,four,90,68,31,38,6377
dodge,gas,hatchback,2128,four,98,102,24,30,7957
dodge,gas,hatchback,1967,four,90,68,31,38,6229
dodge,gas,sedan,1989,four,90,68,31,38,6692
dodge,gas,sedan,1989,four,90,68,31,38,7609
dodge,gas,sedan,2191,four,98,102,24,30,8558
dodge,gas,wagon,2535,four,122,88,24,30,8921
dodge,gas,hatchback,2811,four,156,145,19,24,12964
honda,gas,hatchback,1713,four,92,58,49,54,6479
honda,gas,hatchback,1819,four,92,76,31,38,6855
honda,gas,hatchback,1837,four,79,60,38,42,5399
honda,gas,hatchback,1940,four,92,76,30,34,6529
honda,gas,hatchback,1956,four,92,76,30,34,7129
honda,gas,sedan,2010,four,92,76,30,34,7295
honda,gas,wagon,2024,four,92,76,30,34,7295
honda,gas,hatchback,2236,four,110,86,27,33,7895
honda,gas,hatchback,2289,four,110,86,27,33,9095
honda,gas,sedan,2304,four,110,86,27,33,8845
honda,gas,sedan,2372,four,110,86,27,33,10295
honda,gas,sedan,2465,four,110,101,24,28,12945
honda,gas,sedan,2293,four,110,100,25,31,10345
isuzu,gas,sedan,2337,four,111,78,24,29,6785
isuzu,gas,sedan,1874,four,90,70,38,43,?
isuzu,gas,sedan,1909,four,90,70,38,43,?
isuzu,gas,hatchback,2734,four,119,90,24,29,11048
jaguar,gas,sedan,4066,six,258,176,15,19,32250
jaguar,gas,sedan,4066,six,258,176,15,19,35550
jaguar,gas,sedan,3950,twelve,326,262,13,17,36000
mazda,gas,hatchback,1890,four,91,68,30,31,5195
mazda,gas,hatchback,1900,four,91,68,31,38,6095
mazda,gas,hatchback,1905,four,91,68,31,38,6795
mazda,gas,sedan,1945,four,91,68,31,38,6695
mazda,gas,sedan,1950,four,91,68,31,38,7395
mazda,gas,hatchback,2380,two,70,101,17,23,10945
mazda,gas,hatchback,2380,two,70,101,17,23,11845
mazda,gas,hatchback,2385,two,70,101,17,23,13645
mazda,gas,hatchback,2500,two,80,135,16,23,15645
mazda,gas,hatchback,2385,four,122,84,26,32,8845
mazda,gas,sedan,2410,four,122,84,26,32,8495
mazda,gas,hatchback,2385,four,122,84,26,32,10595
mazda,gas,sedan,2410,four,122,84,26,32,10245
mazda,diesel,sedan,2443,four,122,64,36,42,10795
mazda,gas,hatchback,2425,four,122,84,26,32,11245
mazda,gas,sedan,2670,four,140,120,19,27,18280
mazda,diesel,sedan,2700,four,134,72,31,39,18344
mercedes-benz,diesel,sedan,3515,five,183,123,22,25,25552
mercedes-benz,diesel,wagon,3750,five,183,123,22,25,28248
mercedes-benz,diesel,hardtop,3495,five,183,123,22,25,28176
mercedes-benz,diesel,sedan,3770,five,183,123,22,25,31600
mercedes-benz,gas,sedan,3740,eight,234,155,16,18,34184
mercedes-benz,gas,convertible,3685,eight,234,155,16,18,35056
mercedes-benz,gas,sedan,3900,eight,308,184,14,16,40960
mercedes-benz,gas,hardtop,3715,eight,304,184,14,16,45400
mercury,gas,hatchback,2910,four,140,175,19,24,16503
mitsubishi,gas,hatchback,1918,four,92,68,37,41,5389
mitsubishi,gas,hatchback,1944,four,92,68,31,38,6189
mitsubishi,gas,hatchback,2004,four,92,68,31,38,6669
mitsubishi,gas,hatchback,2145,four,98,102,24,30,7689
mitsubishi,gas,hatchback,2370,four,110,116,23,30,9959
mitsubishi,gas,hatchback,2328,four,122,88,25,32,8499
mitsubishi,gas,hatchback,2833,four,156,145,19,24,12629
mitsubishi,gas,hatchback,2921,four,156,145,19,24,14869
mitsubishi,gas,hatchback,2926,four,156,145,19,24,14489
mitsubishi,gas,sedan,2365,four,122,88,25,32,6989
mitsubishi,gas,sedan,2405,four,122,88,25,32,8189
mitsubishi,gas,sedan,2403,four,110,116,23,30,9279
mitsubishi,gas,sedan,2403,four,110,116,23,30,9279
nissan,gas,sedan,1889,four,97,69,31,37,5499
nissan,diesel,sedan,2017,four,103,55,45,50,7099
nissan,gas,sedan,1918,four,97,69,31,37,6649
nissan,gas,sedan,1938,four,97,69,31,37,6849
nissan,gas,wagon,2024,four,97,69,31,37,7349
nissan,gas,sedan,1951,four,97,69,31,37,7299
nissan,gas,hatchback,2028,four,97,69,31,37,7799
nissan,gas,sedan,1971,four,97,69,31,37,7499
nissan,gas,wagon,2037,four,97,69,31,37,7999
nissan,gas,hardtop,2008,four,97,69,31,37,8249
nissan,gas,hatchback,2324,four,120,97,27,34,8949
nissan,gas,sedan,2302,four,120,97,27,34,9549
nissan,gas,sedan,3095,six,181,152,17,22,13499
nissan,gas,wagon,3296,six,181,152,17,22,14399
nissan,gas,sedan,3060,six,181,152,19,25,13499
nissan,gas,hatchback,3071,six,181,160,19,25,17199
nissan,gas,hatchback,3139,six,181,200,17,23,19699
nissan,gas,hatchback,3139,six,181,160,19,25,18399
peugot,gas,sedan,3020,four,120,97,19,24,11900
peugot,diesel,sedan,3197,four,152,95,28,33,13200
peugot,gas,wagon,3230,four,120,97,19,24,12440
peugot,diesel,wagon,3430,four,152,95,25,25,13860
peugot,gas,sedan,3075,four,120,95,19,24,15580
peugot,diesel,sedan,3252,four,152,95,28,33,16900
peugot,gas,wagon,3285,four,120,95,19,24,16695
peugot,diesel,wagon,3485,four,152,95,25,25,17075
peugot,gas,sedan,3075,four,120,97,19,24,16630
peugot,diesel,sedan,3252,four,152,95,28,33,17950
peugot,gas,sedan,3130,four,134,142,18,24,18150
plymouth,gas,hatchback,1918,four,90,68,37,41,5572
plymouth,gas,hatchback,2128,four,98,102,24,30,7957
plymouth,gas,hatchback,1967,four,90,68,31,38,6229
plymouth,gas,sedan,1989,four,90,68,31,38,6692
plymouth,gas,sedan,2191,four,98,68,31,38,7609
plymouth,gas,wagon,2535,four,122,88,24,30,8921
plymouth,gas,hatchback,2818,four,156,145,19,24,12764
porsche,gas,hatchback,2778,four,151,143,19,27,22018
porsche,gas,hardtop,2756,six,194,207,17,25,32528
porsche,gas,hardtop,2756,six,194,207,17,25,34028
porsche,gas,convertible,2800,six,194,207,17,25,37028
porsche,gas,hatchback,3366,eight,203,288,17,28,?
renault,gas,wagon,2579,four,132,?,23,31,9295
renault,gas,hatchback,2460,four,132,?,23,31,9895
saab,gas,hatchback,2658,four,121,110,21,28,11850
saab,gas,sedan,2695,four,121,110,21,28,12170
saab,gas,hatchback,2707,four,121,110,21,28,15040
saab,gas,sedan,2758,four,121,110,21,28,15510
saab,gas,hatchback,2808,four,121,160,19,26,18150
saab,gas,sedan,2847,four,121,160,19,26,18620
subaru,gas,hatchback,2050,four,97,69,31,36,5118
subaru,gas,hatchback,2120,four,108,73,26,31,7053
subaru,gas,hatchback,2240,four,108,73,26,31,7603
subaru,gas,sedan,2145,four,108,82,32,37,7126
subaru,gas,sedan,2190,four,108,82,28,33,7775
subaru,gas,sedan,2340,four,108,94,26,32,9960
subaru,gas,sedan,2385,four,108,82,24,25,9233
subaru,gas,sedan,2510,four,108,111,24,29,11259
subaru,gas,wagon,2290,four,108,82,28,32,7463
subaru,gas,wagon,2455,four,108,94,25,31,10198
subaru,gas,wagon,2420,four,108,82,23,29,8013
subaru,gas,wagon,2650,four,108,111,23,23,11694
toyota,gas,hatchback,1985,four,92,62,35,39,5348
toyota,gas,hatchback,2040,four,92,62,31,38,6338
toyota,gas,hatchback,2015,four,92,62,31,38,6488
toyota,gas,wagon,2280,four,92,62,31,37,6918
toyota,gas,wagon,2290,four,92,62,27,32,7898
toyota,gas,wagon,3110,four,92,62,27,32,8778
toyota,gas,sedan,2081,four,98,70,30,37,6938
toyota,gas,hatchback,2109,four,98,70,30,37,7198
toyota,diesel,sedan,2275,four,110,56,34,36,7898
toyota,diesel,hatchback,2275,four,110,56,38,47,7788
toyota,gas,sedan,2094,four,98,70,38,47,7738
toyota,gas,hatchback,2122,four,98,70,28,34,8358
toyota,gas,sedan,2140,four,98,70,28,34,9258
toyota,gas,sedan,2169,four,98,70,29,34,8058
toyota,gas,hatchback,2204,four,98,70,29,34,8238
toyota,gas,sedan,2265,four,98,112,26,29,9298
toyota,gas,hatchback,2300,four,98,112,26,29,9538
toyota,gas,hardtop,2540,four,146,116,24,30,8449
toyota,gas,hardtop,2536,four,146,116,24,30,9639
toyota,gas,hatchback,2551,four,146,116,24,30,9989
toyota,gas,hardtop,2679,four,146,116,24,30,11199
toyota,gas,hatchback,2714,four,146,116,24,30,11549
toyota,gas,convertible,2975,four,146,116,24,30,17669
toyota,gas,sedan,2326,four,122,92,29,34,8948
toyota,diesel,sedan,2480,four,110,73,30,33,10698
toyota,gas,hatchback,2414,four,122,92,27,32,9988
toyota,gas,sedan,2414,four,122,92,27,32,10898
toyota,gas,hatchback,2458,four,122,92,27,32,11248
toyota,gas,hatchback,2976,six,171,161,20,24,16558
toyota,gas,hatchback,3016,six,171,161,19,24,15998
toyota,gas,sedan,3131,six,171,156,20,24,15690
toyota,gas,wagon,3151,six,161,156,19,24,15750
volkswagen,diesel,sedan,2261,four,97,52,37,46,7775
volkswagen,gas,sedan,2209,four,109,85,27,34,7975
volkswagen,diesel,sedan,2264,four,97,52,37,46,7995
volkswagen,gas,sedan,2212,four,109,85,27,34,8195
volkswagen,gas,sedan,2275,four,109,85,27,34,8495
volkswagen,diesel,sedan,2319,four,97,68,37,42,9495
volkswagen,gas,sedan,2300,four,109,100,26,32,9995
volkswagen,gas,convertible,2254,four,109,90,24,29,11595
volkswagen,gas,hatchback,2221,four,109,90,24,29,9980
volkswagen,gas,sedan,2661,five,136,110,19,24,13295
volkswagen,diesel,sedan,2579,four,97,68,33,38,13845
volkswagen,gas,wagon,2563,four,109,88,25,31,12290
volvo,gas,sedan,2912,four,141,114,23,28,12940
volvo,gas,wagon,3034,four,141,114,23,28,13415
volvo,gas,sedan,2935,four,141,114,24,28,15985
volvo,gas,wagon,3042,four,141,114,24,28,16515
volvo,gas,sedan,3045,four,130,162,17,22,18420
volvo,gas,wagon,3157,four,130,162,17,22,18950
volvo,gas,sedan,2952,four,141,114,23,28,16845
volvo,gas,sedan,3049,four,141,160,19,25,19045
volvo,gas,sedan,3012,six,173,134,18,23,21485
volvo,diesel,sedan,3217,six,145,106,26,27,22470
volvo,gas,sedan,3062,four,141,114,19,25,22625
